part_id,group_yn,group_n,group_age0,group_age6,group_age12,group_age19,group_age60
1010101,1,40,0,1,1,1,1
1010102,0,0,0,0,0,0,0
1010103,0,0,0,0,0,0,0
1010104,0,0,0,0,0,0,0
1010105,0,0,0,0,0,0,0
1010107,1,20,0,0,0,1,0
1010108,0,0,0,0,0,0,0
1010109,0,0,0,0,0,0,0
1010110,0,0,0,0,0,0,0
1010111,0,0,0,0,0,0,0
1010112,1,21,0,0,1,0,0
1010113,0,0,0,0,0,0,0
1010114,0,0,0,0,0,0,0
1010115,1,22,0,0,0,1,0
1010116,1,30,0,0,0,1,1
1010117,1,20,0,0,0,1,1
1010118,1,21,0,0,1,0,0
1010119,1,30,0,0,1,1,1
1010120,0,0,0,0,0,0,0
1010121,0,0,0,0,0,0,0
1010122,1,50,0,0,0,1,0
1010123,1,30,0,0,0,0,1
1010124,1,40,0,1,0,1,1
1010125,0,0,0,0,0,0,0
1010201,0,0,0,0,0,0,0
1010202,1,45,0,1,1,1,1
1010203,0,0,0,0,0,0,0
1010204,0,0,0,0,0,0,0
1010205,0,0,0,0,0,0,0
1010206,0,0,0,0,0,0,0
1010207,1,20,0,0,0,1,1
1010208,0,0,0,0,0,0,0
1010209,1,22,0,0,0,1,1
1010210,0,0,0,0,0,0,0
1010211,1,35,0,0,0,1,1
1010213,1,25,0,0,0,1,1
1010214,1,30,0,0,0,1,0
1010215,1,28,0,0,1,1,1
1010216,0,0,0,0,0,0,0
1010217,0,0,0,0,0,0,0
1010218,0,0,0,0,0,0,0
1010219,0,0,0,0,0,0,0
1010220,0,0,0,0,0,0,0
1010221,0,0,0,0,0,0,0
1010222,0,0,0,0,0,0,0
1010223,0,0,0,0,0,0,0
1010224,0,0,0,0,0,0,0
1010225,1,30,0,1,0,0,0
1010301,1,40,1,1,1,1,1
1010302,1,30,1,1,1,1,1
1010303,0,0,0,0,0,0,0
1010304,0,0,0,0,0,0,0
1010305,0,0,0,0,0,0,0
1010306,0,0,0,0,0,0,0
1010307,0,0,0,0,0,0,0
1010308,0,0,0,0,0,0,0
1010309,0,0,0,0,0,0,0
1010310,1,48,0,0,1,0,0
1010311,0,0,0,0,0,0,0
1010312,0,0,0,0,0,0,0
1010313,0,0,0,0,0,0,0
1010314,0,0,0,0,0,0,0
1010315,1,20,0,0,0,1,0
1010316,0,0,0,0,0,0,0
1010317,1,35,0,0,0,1,1
1010318,1,40,0,0,0,1,0
1010319,1,40,1,1,1,1,1
1010320,1,28,0,1,1,0,0
1010321,1,25,0,1,0,0,0
1010322,0,0,0,0,0,0,0
1010323,1,30,0,0,1,1,0
1010324,0,0,0,0,0,0,0
1010325,0,0,0,0,0,0,0
1010401,1,20,0,0,0,1,0
1010402,0,0,0,0,0,0,0
1010403,1,28,0,0,1,0,0
1010405,1,24,0,1,0,0,0
1010406,0,0,0,0,0,0,0
1010407,0,0,0,0,0,0,0
1010408,0,0,0,0,0,0,0
1010409,0,0,0,0,0,0,0
1010410,0,0,0,0,0,0,0
1010411,0,0,0,0,0,0,0
1010412,0,0,0,0,0,0,0
1010413,0,0,0,0,0,0,0
1010414,0,0,0,0,0,0,0
1010415,0,0,0,0,0,0,0
1010416,0,0,0,0,0,0,0
1010418,1,30,0,0,0,1,0
1010419,0,0,0,0,0,0,0
1010420,0,0,0,0,0,0,0
1010421,0,0,0,0,0,0,0
1010422,1,30,0,0,0,1,0
1010423,1,50,0,0,0,1,0
1010424,1,20,0,0,1,0,0
1020101,0,0,0,0,0,0,0
1020102,0,0,0,0,0,0,0
1020103,0,0,0,0,0,0,0
1020104,0,0,0,0,0,0,0
1020105,0,0,0,0,0,0,0
1020106,1,60,0,0,1,1,0
1020107,0,0,0,0,0,0,0
1020108,0,0,0,0,0,0,0
1020109,0,0,0,0,0,0,0
1020110,1,41,0,0,0,1,1
1020111,0,0,0,0,0,0,0
1020112,0,0,0,0,0,0,0
1020113,0,0,0,0,0,0,0
1020114,0,0,0,0,0,0,0
1020116,0,0,0,0,0,0,0
1020117,0,0,0,0,0,0,0
1020118,0,0,0,0,0,0,0
1020119,0,0,0,0,0,0,0
1020120,0,0,0,0,0,0,0
1020121,0,0,0,0,0,0,0
1020123,0,0,0,0,0,0,0
1020124,0,0,0,0,0,0,0
1020125,0,0,0,0,0,0,0
1020127,0,0,0,0,0,0,0
1020128,1,28,0,0,1,0,0
1020129,0,0,0,0,0,0,0
1020130,0,0,0,0,0,0,0
1020131,0,0,0,0,0,0,0
1020132,0,0,0,0,0,0,0
1020133,0,0,0,0,0,0,0
1020134,0,0,0,0,0,0,0
1020201,0,0,0,0,0,0,0
1020202,0,0,0,0,0,0,0
1020203,0,0,0,0,0,0,0
1020204,0,0,0,0,0,0,0
1020205,1,30,0,0,1,0,0
1020206,0,0,0,0,0,0,0
1020207,1,50,0,0,0,1,0
1020208,0,0,0,0,0,0,0
1020209,1,20,0,0,0,1,1
1020210,0,0,0,0,0,0,0
1020211,0,0,0,0,0,0,0
1020212,0,0,0,0,0,0,0
1020213,0,0,0,0,0,0,0
1020214,0,0,0,0,0,0,0
1020215,0,0,0,0,0,0,0
1020216,1,30,0,1,0,1,0
1020217,1,30,0,0,1,0,0
1020218,0,0,0,0,0,0,0
1020219,0,0,0,0,0,0,0
1020220,0,0,0,0,0,0,0
1020221,1,43,0,0,1,0,0
1020222,0,0,0,0,0,0,0
1020223,0,0,0,0,0,0,0
1020224,0,0,0,0,0,0,0
1020225,1,35,0,1,0,0,0
1020226,0,0,0,0,0,0,0
1020227,0,0,0,0,0,0,0
1020228,0,0,0,0,0,0,0
1020229,0,0,0,0,0,0,0
1020230,0,0,0,0,0,0,0
1020231,0,0,0,0,0,0,0
1020232,1,30,0,0,0,1,0
1020233,0,0,0,0,0,0,0
1020301,0,0,0,0,0,0,0
1020302,1,40,0,1,1,1,1
1020303,1,30,0,0,0,1,0
1020304,0,0,0,0,0,0,0
1020305,0,0,0,0,0,0,0
1020306,0,0,0,0,0,0,0
1020307,0,0,0,0,0,0,0
1020308,1,20,0,0,1,0,0
1020309,1,30,0,0,0,1,1
1020310,0,0,0,0,0,0,0
1020311,0,0,0,0,0,0,0
1020312,0,0,0,0,0,0,0
1020314,0,0,0,0,0,0,0
1020315,1,25,0,1,0,1,1
1020316,0,0,0,0,0,0,0
1020317,0,0,0,0,0,0,0
1020318,0,0,0,0,0,0,0
1020319,0,0,0,0,0,0,0
1020320,1,20,0,1,0,0,0
1020321,1,31,0,0,1,0,0
1020322,1,40,0,0,0,0,0
1020323,0,0,0,0,0,0,0
1020325,0,0,0,0,0,0,0
1020326,0,0,0,0,0,0,0
1020327,0,0,0,0,0,0,0
1020329,1,27,0,0,0,1,0
1020330,1,20,0,0,0,1,0
1020331,0,0,0,0,0,0,0
1020332,0,0,0,0,0,0,0
1020333,0,0,0,0,0,0,0
1020334,0,0,0,0,0,0,0
1030101,0,0,0,0,0,0,0
1030102,0,0,0,0,0,0,0
1030103,1,40,0,1,0,1,0
1030104,1,25,0,0,0,1,1
1030105,1,40,0,0,0,1,0
