part_id,sday_id,dayofweek
1010101,21/01/2018,0
1010102,17/01/2018,3
1010103,21/01/2018,0
1010104,21/01/2018,0
1010105,18/01/2018,4
1010107,20/01/2018,6
1010108,21/01/2018,0
1010109,17/01/2018,3
1010110,19/01/2018,5
1010111,22/01/2018,1
1010112,22/01/2018,1
1010113,20/01/2018,6
1010114,20/01/2018,6
1010115,19/01/2018,5
1010116,18/01/2018,4
1010117,21/01/2018,0
1010118,22/01/2018,1
1010119,23/01/2018,2
1010120,21/01/2018,0
1010121,18/01/2018,4
1010122,17/01/2018,3
1010123,21/01/2018,0
1010124,18/01/2018,4
1010125,22/01/2018,1
1010201,17/01/2018,3
1010202,15/04/2018,0
1010203,23/01/2018,2
1010204,23/01/2018,2
1010205,16/04/2018,1
1010206,23/01/2018,2
1010207,18/04/2018,3
1010208,20/01/2018,6
1010209,19/01/2018,5
1010210,18/01/2018,4
1010211,19/01/2018,5
1010213,22/01/2018,1
1010214,18/04/2018,3
1010215,19/04/2018,4
1010216,20/04/2018,5
1010217,24/01/2018,3
1010218,21/04/2018,6
1010219,18/01/2018,4
1010220,19/01/2018,5
1010221,17/01/2018,3
1010222,23/01/2018,2
1010223,23/01/2018,2
1010224,22/01/2018,1
1010225,23/01/2018,2
1010301,19/01/2018,5
1010302,22/01/2018,1
1010303,19/01/2018,5
1010304,23/01/2018,2
1010305,20/01/2018,6
1010306,20/01/2018,6
1010307,23/01/2018,2
1010308,23/01/2018,2
1010309,20/01/2018,6
1010310,24/01/2018,3
1010311,20/01/2018,6
1010312,18/01/2018,4
1010313,20/01/2018,6
1010314,20/01/2018,6
1010315,22/01/2018,1
1010316,24/01/2018,3
1010317,19/01/2018,5
1010318,20/01/2018,6
1010319,23/01/2018,2
1010320,18/01/2018,4
1010321,19/01/2018,5
1010322,21/01/2018,0
1010323,19/01/2018,5
1010324,21/01/2018,0
1010325,18/01/2018,4
1010401,18/01/2018,4
1010402,21/01/2018,0
1010403,19/01/2018,5
1010405,20/01/2018,6
1010406,16/01/2018,2
1010407,21/01/2018,0
1010408,19/01/2018,5
1010409,21/01/2018,0
1010410,23/01/2018,2
1010411,21/01/2018,0
1010412,20/01/2018,6
1010413,23/01/2018,2
1010414,19/01/2018,5
1010415,22/01/2018,1
1010416,20/01/2018,6
1010418,20/01/2018,6
1010419,22/01/2018,1
1010420,24/01/2018,3
1010421,22/01/2018,1
1010422,18/01/2018,4
1010423,24/01/2018,3
1010424,25/01/2018,4
1020101,20/01/2018,6
1020102,20/01/2018,6
1020103,24/01/2018,3
1020104,20/01/2018,6
1020105,20/01/2018,6
1020106,21/01/2018,0
1020107,20/01/2018,6
1020108,24/01/2018,3
1020109,21/01/2018,0
1020110,22/01/2018,1
1020111,24/01/2018,3
1020112,20/01/2018,6
1020113,20/01/2018,6
1020114,24/01/2018,3
1020116,26/01/2018,5
1020117,20/01/2018,6
1020118,24/01/2018,3
1020119,21/01/2018,0
1020120,22/01/2018,1
1020121,20/01/2018,6
1020123,21/01/2018,0
1020124,20/01/2018,6
1020125,22/01/2018,1
1020127,23/01/2018,2
1020128,26/01/2018,5
1020129,24/01/2018,3
1020130,22/01/2018,1
1020131,27/01/2018,6
1020132,23/01/2018,2
1020133,20/01/2018,6
1020134,21/01/2018,0
1020201,22/01/2018,1
1020202,21/01/2018,0
1020203,24/01/2018,3
1020204,22/01/2018,1
1020205,24/01/2018,3
1020206,25/01/2018,4
1020207,25/01/2018,4
1020208,26/01/2018,5
1020209,26/01/2018,5
1020210,23/01/2018,2
1020211,22/01/2018,1
1020212,21/01/2018,0
1020213,26/01/2018,5
1020214,24/01/2018,3
1020215,25/01/2018,4
1020216,24/01/2018,3
1020217,23/01/2018,2
1020218,22/01/2018,1
1020219,26/01/2018,5
1020220,26/01/2018,5
1020221,27/01/2018,6
1020222,26/01/2018,5
1020223,23/01/2018,2
1020224,26/01/2018,5
1020225,23/01/2018,2
1020226,25/01/2018,4
1020227,22/01/2018,1
1020228,26/01/2018,5
1020229,25/01/2018,4
1020230,24/01/2018,3
1020231,27/01/2018,6
1020232,26/01/2018,5
1020233,21/01/2018,0
1020301,21/01/2018,0
1020302,23/01/2018,2
1020303,27/01/2018,6
1020304,22/01/2018,1
1020305,25/01/2018,4
1020306,27/01/2018,6
1020307,23/01/2018,2
1020308,21/01/2018,0
1020309,21/01/2018,0
1020310,26/01/2018,5
1020311,24/01/2018,3
1020312,25/01/2018,4
1020314,26/01/2018,5
1020315,28/01/2018,0
1020316,26/01/2018,5
1020317,23/01/2018,2
1020318,21/01/2018,0
1020319,26/01/2018,5
1020320,23/01/2018,2
1020321,22/01/2018,1
1020322,26/01/2018,5
1020323,25/01/2018,4
1020325,26/01/2018,5
1020326,21/01/2018,0
1020327,25/01/2018,4
1020329,27/01/2018,6
1020330,24/01/2018,3
1020331,21/01/2018,0
1020332,06/02/2018,2
1020333,06/02/2018,2
1020334,24/01/2018,3
1030101,26/01/2018,5
1030102,23/01/2018,2
1030103,24/01/2018,3
1030104,20/01/2018,6
1030105,20/01/2018,6
1030106,26/01/2018,5
1030107,22/01/2018,1
1030108,24/01/2018,3
1030109,23/01/2018,2
1030110,23/01/2018,2
1030111,20/01/2018,6
1030112,20/01/2018,6
1030113,22/01/2018,1
1030114,20/01/2018,6
1030115,26/01/2018,5
1030116,22/01/2018,1
1030117,26/01/2018,5
1030119,20/01/2018,6
1030120,23/01/2018,2
1030121,23/01/2018,2
1030122,26/01/2018,5
1030124,26/01/2018,5
1030125,24/01/2018,3
1030201,20/01/2018,6
1030202,21/01/2018,0
1030203,20/01/2018,6
1030204,24/01/2018,3
1030205,20/01/2018,6
1030206,25/01/2018,4
1030207,22/01/2018,1
1030208,20/01/2018,6
1030209,21/01/2018,0
1030210,22/01/2018,1
1030211,22/01/2018,1
1030212,22/01/2018,1
1030213,21/01/2018,0
1030215,21/01/2018,0
1030216,23/01/2018,2
1030217,26/01/2018,5
1030218,25/01/2018,4
1030219,22/01/2018,1
1030220,20/01/2018,6
1030221,26/01/2018,5
1030222,21/01/2018,0
1030223,27/01/2018,6
1030224,26/01/2018,5
1030225,26/01/2018,5
1030301,25/01/2018,4
1030303,20/01/2018,6
1030304,20/01/2018,6
1030305,26/01/2018,5
1030306,24/01/2018,3
1030307,25/01/2018,4
1030308,25/01/2018,4
1030309,26/01/2018,5
1030310,26/01/2018,5
1030313,21/01/2018,0
1030315,24/01/2018,3
1030316,22/01/2018,1
1030317,20/01/2018,6
1030318,22/01/2018,1
1030319,21/01/2018,0
1030320,21/01/2018,0
1030321,20/01/2018,6
1030322,25/01/2018,4
1030323,26/01/2018,5
1030324,17/04/2018,2
1030325,22/01/2018,1
1030401,05/02/2018,1
1030402,03/02/2018,6
1030403,04/02/2018,0
1030404,03/02/2018,6
1030405,02/02/2018,5
1030406,30/01/2018,2
1030407,02/02/2018,5
1030408,05/02/2018,1
1030409,03/02/2018,6
1030410,04/02/2018,0
1030411,01/02/2018,4
1030412,02/02/2018,5
1030413,03/02/2018,6
1030414,03/02/2018,6
1030415,05/02/2018,1
1030416,03/02/2018,6
1030417,04/02/2018,0
1030418,01/02/2018,4
1030419,02/02/2018,5
1030420,30/01/2018,2
1030421,31/01/2018,3
1030422,05/02/2018,1
1030424,06/02/2018,2
1030425,01/02/2018,4
2010101,03/02/2018,6
2010102,28/01/2018,0
2010103,29/01/2018,1
2010104,01/02/2018,4
2010105,30/01/2018,2
2010106,02/02/2018,5
2010107,31/01/2018,3
2010108,03/02/2018,6
2010109,30/01/2018,2
2010110,02/02/2018,5
2010111,28/01/2018,0
2010112,31/01/2018,3
2010113,02/02/2018,5
2010114,29/01/2018,1
2010115,31/01/2018,3
2010116,03/02/2018,6
2010117,02/02/2018,5
2010118,29/01/2018,1
2010119,01/02/2018,4
2010120,28/01/2018,0
2010121,30/01/2018,2
2010122,31/01/2018,3
2010123,29/01/2018,1
2010124,03/02/2018,6
2010125,04/02/2018,0
2010201,03/02/2018,6
2010202,28/01/2018,0
2010203,29/01/2018,1
2010204,01/02/2018,4
2010205,30/01/2018,2
2010206,02/02/2018,5
2010207,31/01/2018,3
2010208,06/02/2018,2
2010209,30/01/2018,2
2010210,02/02/2018,5
2010211,27/01/2018,6
2010212,31/01/2018,3
2010213,01/02/2018,4
2010214,29/01/2018,1
2010215,31/01/2018,3
2010216,03/02/2018,6
2010217,02/02/2018,5
2010218,29/01/2018,1
2010219,01/02/2018,4
2010220,28/01/2018,0
2010222,31/01/2018,3
2010223,29/01/2018,1
2010224,05/02/2018,1
2010225,28/01/2018,0
2010301,03/02/2018,6
2010302,28/01/2018,0
2010303,29/01/2018,1
2010304,01/02/2018,4
2010305,30/01/2018,2
2010306,02/02/2018,5
2010307,31/01/2018,3
2010308,03/02/2018,6
2010309,30/01/2018,2
2010310,02/02/2018,5
2010311,28/01/2018,0
2010312,31/01/2018,3
2010313,01/02/2018,4
2010314,29/01/2018,1
2010315,31/01/2018,3
2010316,03/02/2018,6
2010317,01/02/2018,4
2010318,29/01/2018,1
2010319,01/02/2018,4
2010320,04/02/2018,0
2010321,30/01/2018,2
2010322,31/01/2018,3
2010323,29/01/2018,1
2010324,04/02/2018,0
2010401,01/02/2018,4
2010402,28/01/2018,0
2010403,29/01/2018,1
2010404,01/02/2018,4
2010405,30/01/2018,2
2010406,02/02/2018,5
2010407,31/01/2018,3
2010408,27/01/2018,6
2010409,30/01/2018,2
2010410,03/02/2018,6
2010411,28/01/2018,0
2010412,31/01/2018,3
2010413,01/02/2018,4
2010414,29/01/2018,1
2010415,06/02/2018,2
2010416,30/01/2018,2
2010417,31/01/2018,3
2010418,29/01/2018,1
2010419,03/02/2018,6
2010420,28/01/2018,0
2010421,05/02/2018,1
2010422,31/01/2018,3
2010423,27/01/2018,6
2010425,28/01/2018,0
2020101,05/02/2018,1
2020102,03/02/2018,6
2020103,04/02/2018,0
2020104,01/02/2018,4
2020105,04/02/2018,0
2020106,30/01/2018,2
2020107,31/01/2018,3
2020108,05/02/2018,1
2020109,03/02/2018,6
2020110,04/02/2018,0
